City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bredasdorp,ZA,-34.5322,20.0403,46.4,93,92,1.14,overcast clouds
80,Lasa,IT,46.6166,10.7002,45.0,56,0,5.75,clear sky
81,Tabou,CI,4.423,-7.3528,80.56,84,85,8.39,overcast clouds
82,Vestmanna,FO,62.1564,-7.1664,42.8,100,92,5.75,overcast clouds
83,Japura,ID,-0.3167,102.35,72.88,97,100,1.34,moderate rain
84,Sakleshpur,IN,12.9667,75.7833,68.4,93,63,1.79,broken clouds
85,Boa Vista,BR,2.8197,-60.6733,84.2,65,75,9.22,light rain
86,Longyearbyen,SJ,78.2186,15.6401,15.8,62,75,6.91,broken clouds
87,Beringovskiy,RU,63.05,179.3167,27.75,85,99,6.08,overcast clouds
88,Marzuq,YE,14.4,46.4667,68.47,64,7,6.22,clear sky
89,Atuona,PF,-9.8,-139.0333,80.29,79,29,22.7,scattered clouds
90,Khatanga,RU,71.9667,102.5,32.85,97,100,20.4,overcast clouds
91,Mount Isa,AU,-20.7333,139.5,71.6,26,33,11.5,scattered clouds
92,Palauig,PH,15.435,119.9045,78.85,68,23,6.58,few clouds
93,Aripuana,BR,-9.1667,-60.6333,74.16,96,71,0.47,moderate rain
94,Provideniya,RU,64.3833,-173.3,40.98,54,78,4.45,broken clouds
95,Rocha,UY,-34.4833,-54.3333,63.1,93,4,9.33,clear sky
96,Egvekinot,RU,66.3167,-179.1667,31.62,84,100,3.11,overcast clouds
97,Portland,US,45.5234,-122.6762,63.0,36,90,8.05,overcast clouds
98,Formosa,AR,-26.1775,-58.1781,78.8,83,75,2.3,broken clouds
99,Carnarvon,AU,-24.8667,113.6333,62.6,72,0,6.91,clear sky
100,Homer,US,59.6425,-151.5483,46.99,93,90,3.44,overcast clouds
101,New Norfolk,AU,-42.7826,147.0587,51.01,88,97,3.0,overcast clouds
102,George,ZA,-33.963,22.4617,57.2,100,20,5.75,mist
103,Martapura,ID,-3.4167,114.85,73.4,94,40,2.3,scattered clouds
104,Platteville,US,42.7342,-90.4785,55.4,58,90,11.5,overcast clouds
105,Sitka,US,57.0531,-135.33,60.8,18,20,11.5,few clouds
106,Torbay,CA,47.6666,-52.7314,41.0,75,75,19.57,broken clouds
107,Norman Wells,CA,65.282,-126.8329,33.8,32,75,13.8,broken clouds
108,Castro,BR,-24.7911,-50.0119,56.3,74,4,2.51,clear sky
109,San Cristobal,VE,7.7669,-72.225,87.8,62,20,10.36,few clouds
110,Yellowknife,CA,62.456,-114.3525,16.0,53,75,13.8,broken clouds
