City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
272,Turayf,SA,75.2,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
273,Ixtapa,MX,82.4,few clouds,20.7,-105.2,Hotel Plaza Providencia
280,Hit,IQ,77.38,broken clouds,33.6416,42.8251,صالون زيرو
282,Daru,PG,83.79,scattered clouds,-9.0763,143.2092,Daru Lodge
284,Kavaratti,IN,83.35,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
285,Kimbe,PG,79.93,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
295,Lubbock,US,80.6,scattered clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
296,Sadat,IN,81.27,broken clouds,25.6833,83.2833,Tuntun Niwas
302,Maceio,BR,75.2,clear sky,-9.6658,-35.7353,Poutur Pousada
306,Palembang,ID,75.2,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
308,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
313,Waycross,US,75.2,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
317,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
318,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
323,Dingle,PH,80.08,light rain,10.9995,122.6711,SEGAYA PROPERTY
325,Yuscaran,HN,82.0,scattered clouds,13.9333,-86.85,Green Soul
326,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
329,Moth,IN,84.45,overcast clouds,25.7167,78.95,ROHIT singh RAJPOOT medicine center
331,Sinnamary,GF,77.5,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
334,Kilindoni,TZ,80.02,scattered clouds,-7.9139,39.6668,Bustani B&B
336,Makakilo City,US,84.2,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Kidal,ML,85.95,clear sky,18.4411,1.4078,
339,Les Cayes,HT,78.89,few clouds,18.2,-73.75,Villa Orphee
342,Barmer,IN,78.22,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
343,Kayattar,IN,82.72,overcast clouds,8.95,77.8,18ஆம் படி கருப்பசாமி கோயில்
351,Coahuayana,MX,86.0,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
352,Tessalit,ML,86.99,clear sky,20.1986,1.0114,
355,Rajmahal,IN,79.81,clear sky,25.05,87.8333,Rajmahal bus stand
356,Poum,NC,79.47,overcast clouds,-20.2333,164.0167,Gîte kajeon
357,Takoradi,GH,81.72,overcast clouds,4.8845,-1.7554,Raybow International Hotel
360,Clovis,US,81.0,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
361,El Retorno,CO,75.9,broken clouds,2.3302,-72.6276,Hostal la posada de Rita
364,Awbari,LY,82.22,clear sky,26.5921,12.7805,فندق أوباري
369,Sabya,SA,86.0,clear sky,17.1495,42.6254,Aseel Hotel Apartment
373,Selma,US,79.0,few clouds,36.5708,-119.6121,Holiday Inn Selma-Swancourt
374,Cururupu,BR,75.58,broken clouds,-1.8283,-44.8683,Pousada Través'cia
377,Inirida,CO,78.1,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
384,Lazaro Cardenas,MX,84.33,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
385,Hambantota,LK,78.82,broken clouds,6.1241,81.1185,Bungalow 63
390,Noumea,NC,82.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
391,Ambagarh Chauki,IN,79.97,broken clouds,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
393,Mazamari,PE,75.16,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
394,Kudahuvadhoo,MV,82.8,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
402,Jaisalmer,IN,77.83,clear sky,26.9147,70.9181,Hotel Fifu
410,Abu Dhabi,AE,80.6,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
417,Kailua,US,84.2,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
418,Mogadishu,SO,82.49,broken clouds,2.0371,45.3438,Hotel Juba
